Ma,So phien tang dai nhat,Muc tang tung phien trong chuoi (%),Tong % tang cua chuoi,Trung binh % tang moi phien,Mã,Final Decision,Decision Mode,Meta Allocation %,Meta Exposure,Regime Strength,Equity State,Meta Allocation %_meta,Decision Mode_meta,Nhóm realtime,Ưu tiên,Điểm V15.3 cuối cùng,Kết luận V15.3
KSB,6,"[1.18, 0.58, 0.29, 1.15, 0.28, 1.99]",5.47,0.91,KSB,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
MBS,6,"[0.69, 1.74, 2.08, 5.8, 0.62, 1.58]",12.51,2.08,MBS,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
DHC,6,"[0.41, 1.17, 0.53, 4.21, 1.49, 5.95]",13.76,2.29,DHC,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
APG,6,"[6.84, 6.84, 6.82, 1.16, 6.88, 3.22]",31.76,5.29,APG,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
PAN,6,"[0.63, 0.85, 0.23, 6.08, 3.98, 2.66]",14.43,2.4,PAN,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
CTS,6,"[4.19, 7.0, 6.99, 3.68, 6.67, 4.43]",32.96,5.49,CTS,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
DRC,6,"[1.05, 0.35, 0.28, 1.37, 0.61, 1.01]",4.67,0.78,DRC,,,0.0,,,,,,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
GAS,6,"[0.31, 2.55, 6.99, 0.59, 2.3, 1.27]",14.01,2.33,GAS,,,0.0,,,,,,TOP THEO DÕI,THẤP,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
VTO,6,"[3.03, 0.62, 0.69, 0.31, 6.77, 0.57]",11.99,2.0,VTO,,,0.0,,,,,,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
VND,6,"[2.04, 0.36, 1.0, 0.63, 1.05, 0.62]",5.7,0.95,VND,,,0.0,,,,,,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
DRC,6,"[1.05, 0.35, 0.28, 1.37, 0.61, 1.01]",4.67,0.78,DRC,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
